City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
40,Yulara,AU,-25.24,130.99,55.4,28,0,5.19,clear sky
41,Vestmannaeyjar,IS,63.44,-20.27,53.31,93,98,7.16,overcast clouds
42,Juba,SS,4.85,31.58,70.03,91,66,2.42,broken clouds
43,Coquimbo,CL,-29.95,-71.34,51.8,76,90,3.36,overcast clouds
44,Broome,US,42.25,-75.83,73.4,49,1,8.05,clear sky
45,Saldanha,ZA,-33.01,17.94,46.4,75,27,6.93,scattered clouds
46,Goderich,CA,43.75,-81.72,73.0,82,62,8.01,light rain
47,Saskylakh,RU,71.92,114.08,53.31,83,94,11.63,overcast clouds
48,Panguna,PG,-6.32,155.48,76.03,91,37,1.41,moderate rain
49,Camana,PE,-16.62,-72.71,59.31,75,73,4.14,broken clouds
50,Iqaluit,CA,63.75,-68.51,42.8,93,40,9.17,scattered clouds
51,Butaritari,KI,3.07,172.79,81.95,63,1,8.55,clear sky
52,Mwaya,TZ,-9.55,33.95,70.18,60,84,2.93,broken clouds
53,Maragogi,BR,-9.01,-35.22,73.71,85,29,11.61,scattered clouds
54,Kapaa,US,22.08,-159.32,86.0,62,20,14.99,few clouds
55,Megion,RU,61.03,76.11,57.2,93,97,6.71,overcast clouds
56,Yellowknife,CA,62.46,-114.35,68.0,52,20,6.93,few clouds
57,Tuktoyaktuk,CA,69.45,-133.04,53.6,71,90,3.36,overcast clouds
58,Sorong,ID,-0.88,131.25,78.15,86,87,11.72,overcast clouds
59,Jamestown,US,42.1,-79.24,66.99,82,75,3.36,broken clouds
60,Villeta,CO,5.01,-74.47,57.2,87,90,5.82,overcast clouds
61,Quesnel,CA,53.0,-122.5,89.6,21,1,9.17,clear sky
62,Wilmington,US,34.23,-77.94,82.4,65,1,5.82,clear sky
63,Savannah Bight,HN,16.45,-85.85,84.51,73,59,7.7,broken clouds
64,Norsup,VU,-16.07,167.38,84.2,74,75,3.36,broken clouds
65,Buraydah,SA,26.33,43.98,84.2,32,43,3.36,scattered clouds
66,Sisimiut,GL,66.94,-53.67,48.56,59,53,2.24,broken clouds
67,Ushuaia,AR,-54.8,-68.3,35.6,80,75,14.99,shower rain
68,Rundu,NA,-17.93,19.77,59.2,30,0,0.38,clear sky
69,Hermanus,ZA,-34.42,19.23,46.99,82,87,8.01,light rain
70,Pacific Grove,US,36.62,-121.92,73.4,56,40,8.05,smoke
71,Beringovskiy,RU,63.05,179.32,53.2,79,100,15.66,overcast clouds
72,Port Hardy,CA,50.7,-127.42,77.0,53,20,12.75,few clouds
73,Nassau,US,40.75,-73.58,73.4,73,90,14.99,light rain
74,Katsuura,JP,35.13,140.3,88.0,84,75,6.93,broken clouds
75,Arkhara,RU,49.42,130.08,62.73,98,100,7.43,moderate rain
76,Shambu,ET,9.57,37.1,52.18,100,100,1.25,light rain
77,Padang,ID,-0.95,100.35,77.67,69,66,3.24,broken clouds
78,Ahipara,NZ,-35.17,173.17,59.72,75,100,17.56,overcast clouds
79,Hithadhoo,MV,-0.6,73.08,83.46,75,36,7.4,scattered clouds
80,Urumqi,CN,43.8,87.6,75.2,31,9,13.42,clear sky
81,Maningrida,AU,-12.07,134.27,76.53,37,0,7.18,clear sky
82,Carnarvon,AU,-24.87,113.63,50.0,100,14,5.82,few clouds
83,Vao,NC,-22.67,167.48,69.66,78,57,15.66,broken clouds
84,Moyale,KE,3.52,39.06,65.75,74,56,8.59,broken clouds
85,Severo-Kurilsk,RU,50.68,156.12,54.32,84,90,3.42,overcast clouds
86,Acajutla,SV,13.59,-89.83,77.0,78,40,3.36,scattered clouds
87,Puerto Ayora,EC,-0.74,-90.35,66.99,93,89,3.0,overcast clouds
88,Vanavara,RU,60.34,102.28,52.92,57,99,6.06,overcast clouds
89,Upernavik,GL,72.79,-56.15,46.4,56,100,1.63,overcast clouds
90,Port Elizabeth,ZA,-33.92,25.57,51.8,71,75,34.45,light rain
91,Kruisfontein,ZA,-34.0,24.73,50.0,67,93,11.01,light rain
92,Mahebourg,MU,-20.41,57.7,69.8,77,20,9.17,few clouds
93,Port Lincoln,AU,-34.73,135.87,56.21,68,34,22.21,light rain
94,Mitzic,GA,0.78,11.55,69.8,97,99,4.54,light rain
95,Tasiilaq,GL,65.61,-37.64,44.6,93,39,3.36,scattered clouds
96,Manokwari,ID,-0.87,134.08,83.53,66,90,1.01,light rain
97,Khatanga,RU,71.97,102.5,58.28,90,100,8.88,light rain
98,Thompson,CA,55.74,-97.86,64.4,55,75,6.93,broken clouds
99,Adrar,MR,20.5,-10.07,98.98,28,0,18.5,clear sky
100,Funehiki,JP,37.43,140.58,82.0,69,20,11.41,few clouds
101,Mudgee,AU,-32.59,149.59,54.0,87,75,3.36,broken clouds
102,Paamiut,GL,61.99,-49.67,48.52,66,0,10.98,clear sky
103,Ihosy,MG,-22.4,46.12,61.57,84,60,8.61,broken clouds
104,Samarai,PG,-10.62,150.67,76.26,59,36,7.54,scattered clouds
105,Dire Dawa,ET,9.59,41.87,70.63,66,79,13.53,light rain
106,Inuvik,CA,68.35,-133.72,62.6,55,40,6.93,scattered clouds
107,Ulaangom,MN,49.98,92.07,62.26,72,5,1.36,clear sky
108,Ola,RU,59.58,151.28,59.18,69,100,3.87,overcast clouds
109,Tuxpan,MX,19.55,-103.4,75.2,88,90,11.41,overcast clouds
110,Barrow,US,71.29,-156.79,50.0,76,1,19.46,clear sky
111,Mirandopolis,BR,-21.13,-51.1,70.27,65,75,18.05,broken clouds
112,Kutum,SD,14.2,24.67,69.19,79,99,9.08,light rain
113,Sao Joao Da Barra,BR,-21.64,-41.05,73.87,85,63,19.57,broken clouds
114,Petropavlovka,RU,50.61,105.32,54.81,56,0,0.31,clear sky
115,Mackay,AU,-21.15,149.2,73.99,22,0,4.7,clear sky
116,Hanna,CA,51.63,-111.9,84.0,42,50,7.0,scattered clouds
117,Ucluelet,CA,48.93,-125.55,66.99,88,20,5.82,few clouds
118,Longyearbyen,SJ,78.22,15.64,44.6,81,75,8.05,broken clouds
119,Waounde,SN,15.26,-12.87,87.8,70,20,2.24,few clouds
120,Champerico,GT,14.3,-91.92,84.2,74,40,9.17,thunderstorm
121,Vaini,TO,-21.2,-175.2,75.2,73,75,12.75,broken clouds
122,Labuhan,ID,-6.88,112.21,77.59,78,42,10.49,scattered clouds
123,Victoria,HK,22.29,114.16,82.0,78,91,7.4,overcast clouds
124,Kulhudhuffushi,MV,6.62,73.07,82.44,75,96,8.08,overcast clouds
125,Aswan,EG,24.09,32.91,90.05,21,8,13.06,clear sky
126,Salisbury,GB,51.07,-1.8,63.0,88,92,8.05,light rain
127,Cowra,AU,-33.83,148.68,43.0,93,74,1.01,broken clouds
128,New Norfolk,AU,-42.78,147.06,51.01,90,80,1.86,broken clouds
129,Georgetown,MY,5.41,100.34,77.0,88,20,2.24,few clouds
130,Hami,CN,42.8,93.45,75.67,19,0,9.51,clear sky
131,Mayo,US,38.89,-76.51,75.0,82,40,8.05,moderate rain
132,Sao Filipe,CV,14.9,-24.5,78.46,82,59,2.75,broken clouds
133,Sitka,US,57.05,-135.33,59.0,82,75,10.29,broken clouds
134,Adre,TD,13.47,22.2,75.33,79,92,2.42,light rain
135,Hasaki,JP,35.73,140.83,88.0,79,75,5.82,broken clouds
136,Padilla,CO,3.22,-76.31,77.0,65,75,6.93,broken clouds
137,Dargaville,NZ,-35.93,173.88,59.63,72,100,15.43,overcast clouds
138,Laguna,US,38.42,-121.42,104.0,27,1,8.05,clear sky
139,Maniitsoq,GL,65.42,-52.9,51.26,57,32,6.31,scattered clouds
140,Vana-Vigala,EE,58.78,24.25,48.0,99,99,0.65,overcast clouds
141,Guerrero Negro,MX,27.98,-114.06,81.54,53,0,18.48,clear sky
142,Tessalit,ML,20.2,1.01,92.26,36,14,7.83,few clouds
143,Ribeira Grande,PT,38.52,-28.7,74.23,89,91,21.99,light rain
144,Pevek,RU,69.7,170.31,39.31,84,100,13.67,light rain
145,Portland,US,45.52,-122.68,95.0,31,20,9.17,few clouds
146,Daru,PG,-9.08,143.21,78.39,71,13,12.15,few clouds
147,Sawakin,SD,19.11,37.33,92.35,45,0,1.48,clear sky
148,Vardo,NO,70.37,31.11,47.62,76,86,14.5,overcast clouds
149,Aklavik,CA,68.22,-135.01,64.4,63,20,8.05,few clouds
150,Ilulissat,GL,69.22,-51.1,51.8,43,32,2.24,scattered clouds
151,Palmer,US,42.16,-72.33,75.2,64,75,9.17,light rain
152,Hobart,AU,-42.88,147.33,51.01,87,75,5.82,broken clouds
153,Bhatkal,IN,13.97,74.57,78.24,86,99,6.35,moderate rain
154,Boyuibe,BO,-20.42,-63.28,58.66,74,46,1.21,scattered clouds
155,Tacoronte,ES,28.48,-16.41,73.99,52,3,4.7,clear sky
156,Beloha,MG,-25.17,45.05,63.3,96,25,6.73,scattered clouds
157,Tupik,RU,54.43,119.93,50.04,57,0,7.27,clear sky
158,Cesis,LV,57.31,25.27,54.0,93,100,2.55,overcast clouds
159,Mananara,MG,-16.17,49.77,65.91,91,22,5.01,light rain
160,Evans,US,33.53,-82.13,81.0,88,90,3.36,very heavy rain
161,Codrington,AU,-38.27,141.97,51.73,86,62,12.17,broken clouds
162,Fairbanks,US,64.84,-147.72,70.0,32,1,6.93,clear sky
163,Auki,SB,-8.77,160.7,86.4,64,69,2.98,broken clouds
164,Smidovich,RU,48.6,133.82,62.02,93,100,9.69,light rain
165,Klaksvik,FO,62.23,-6.59,48.2,87,0,8.37,clear sky
166,Khadzhalmakhi,RU,42.42,47.18,64.4,68,0,6.71,clear sky
167,Bambous Virieux,MU,-20.34,57.76,72.0,77,20,9.17,few clouds
168,Guilin,CN,25.28,110.29,75.2,100,40,2.24,scattered clouds
169,Srednekolymsk,RU,67.45,153.68,46.8,72,99,13.33,overcast clouds
170,Kayerkan,RU,69.35,87.76,55.4,58,1,4.47,clear sky
171,Aguia Branca,BR,-18.98,-40.74,70.77,86,55,2.73,broken clouds
172,Talnakh,RU,69.49,88.4,55.4,58,0,4.47,clear sky
173,Lebu,CL,-37.62,-73.65,49.12,86,64,6.49,light rain
174,Mar Del Plata,AR,-38.0,-57.56,54.0,61,0,6.93,clear sky
175,Snina,SK,48.99,22.15,62.01,94,51,2.84,broken clouds
176,Shahrud,IR,36.42,54.98,63.25,74,1,11.21,clear sky
177,Kodiak,US,57.79,-152.41,64.4,59,1,9.17,clear sky
178,Moses Lake,US,47.13,-119.28,102.2,18,1,10.29,clear sky
179,Cabo San Lucas,MX,22.89,-109.91,91.4,62,5,5.82,clear sky
180,Hovd,MN,48.01,91.64,59.99,64,14,0.27,few clouds
181,Nagato,JP,34.38,131.2,84.2,66,20,6.93,few clouds
182,Grants Pass,US,42.44,-123.33,96.8,16,1,6.35,clear sky
183,Birao,CF,10.28,22.79,72.32,96,97,3.67,overcast clouds
184,Hilo,US,19.73,-155.09,84.2,62,75,11.41,broken clouds
185,Jasper,US,37.2,-94.35,87.8,43,20,9.17,few clouds
186,Puerto Escondido,MX,15.85,-97.07,78.8,69,90,4.74,moderate rain
187,Hazorasp,UZ,41.32,61.07,62.6,63,2,6.93,clear sky
188,Saint-Augustin,CA,51.23,-58.65,61.05,75,99,10.13,overcast clouds
189,Concordia,AR,-31.39,-58.02,53.01,70,0,4.72,clear sky
190,Abashiri,JP,44.02,144.27,64.99,82,75,5.82,broken clouds
191,Gladstone,AU,-23.85,151.25,66.2,59,0,4.7,clear sky
192,The Valley,AI,18.22,-63.06,84.2,74,40,14.99,shower rain
193,Provideniya,RU,64.38,-173.3,51.8,71,100,8.95,overcast clouds
194,Miranda,CO,3.25,-76.23,77.0,65,75,6.93,broken clouds
195,Nyagan,RU,62.14,65.39,52.59,97,100,5.28,overcast clouds
196,Hambantota,LK,6.12,81.12,79.48,83,57,14.12,broken clouds
197,Granville,AU,-33.83,151.02,63.0,45,40,13.87,scattered clouds
198,Vilyuysk,RU,63.76,121.62,55.63,48,0,4.32,clear sky
199,Filingue,NE,14.35,3.32,87.8,53,91,16.58,overcast clouds
200,Arraial Do Cabo,BR,-22.97,-42.03,71.78,90,100,7.11,light rain
201,Santa Rosa,PH,14.31,121.11,84.0,88,95,3.36,overcast clouds
202,Namatanai,PG,-3.67,152.43,83.62,70,3,9.44,clear sky
203,Jacqueville,CI,5.21,-4.41,75.2,94,40,5.82,scattered clouds
204,Ixtapa,MX,20.7,-105.2,86.0,79,90,10.29,light rain
205,Kupino,RU,54.37,77.3,57.83,84,99,6.29,overcast clouds
206,Chokurdakh,RU,70.63,147.92,42.12,80,100,11.45,overcast clouds
207,Anloga,GH,5.79,0.9,75.2,94,40,11.41,scattered clouds
208,Mbandaka,CD,0.05,18.26,71.11,91,65,2.55,broken clouds
209,Fez,MA,34.04,-5.0,73.4,56,0,8.05,clear sky
210,Jumla,NP,29.27,82.18,61.92,70,56,0.81,broken clouds
211,Boende,CD,-0.22,20.87,73.54,93,79,1.32,broken clouds
212,Antofagasta,CL,-23.65,-70.4,57.2,62,75,12.75,broken clouds
213,Tiksi,RU,71.69,128.87,45.23,94,100,0.85,light rain
214,Yerbogachen,RU,61.28,108.01,56.39,55,0,1.36,clear sky
215,Lavrentiya,RU,65.58,-171.0,50.94,77,100,0.6,overcast clouds
216,Lagoa,PT,39.05,-27.98,74.21,90,87,23.42,overcast clouds
217,Petrolina,BR,-9.4,-40.5,77.56,49,2,19.89,clear sky
218,Penzance,GB,50.12,-5.54,62.6,93,38,13.87,light rain
219,Solnechnyy,RU,50.72,136.63,56.43,94,100,5.68,light rain
220,Manoel Urbano,BR,-8.84,-69.26,83.86,51,53,2.98,broken clouds
221,Ravar,IR,31.27,56.81,79.05,26,30,6.15,scattered clouds
222,Nome,US,64.5,-165.41,69.01,55,1,19.46,clear sky
223,Thunder Bay,CA,48.4,-89.32,73.4,38,75,9.17,broken clouds
224,Oksfjord,NO,70.24,22.35,46.4,93,99,15.82,overcast clouds
225,Pochutla,MX,15.74,-96.47,73.4,88,90,8.19,light rain
226,Chapais,CA,49.78,-74.85,57.2,100,90,5.82,overcast clouds
227,Sulangan,PH,11.14,123.72,83.23,72,100,5.84,light rain
228,Kedgwick,CA,47.64,-67.34,59.88,96,21,4.38,few clouds
229,Barra,BR,-11.09,-43.14,78.82,50,7,14.58,clear sky
230,Lorengau,PG,-2.02,147.27,83.01,78,10,9.35,light rain
231,San Andres,CO,12.58,-81.7,84.2,79,75,9.17,broken clouds
232,Akyab,MM,20.15,92.9,80.83,86,100,14.52,moderate rain
233,Laela,TZ,-8.57,32.05,57.06,62,51,2.44,broken clouds
234,Anadyr,RU,64.75,177.48,55.4,62,20,13.42,few clouds
235,Jiutai,CN,44.15,125.83,78.8,83,75,13.42,mist
236,Sioux Lookout,CA,50.1,-91.92,69.8,46,40,9.17,scattered clouds
237,Bogomila,MK,41.59,21.47,66.2,100,20,1.48,few clouds
238,Cidreira,BR,-30.18,-50.21,58.26,83,0,10.74,clear sky
239,Kamien Pomorski,PL,53.97,14.77,71.01,68,5,5.82,clear sky
240,East London,ZA,-33.02,27.91,55.38,64,46,26.75,scattered clouds
241,Castro,BR,-24.79,-50.01,60.69,95,100,6.15,light rain
242,Waddan,LY,29.16,16.14,81.66,30,0,6.71,clear sky
243,Narrabri,AU,-30.32,149.78,59.0,54,21,8.05,few clouds
244,Berdigestyakh,RU,62.1,126.7,54.19,62,42,4.32,scattered clouds
245,Faya,SA,18.39,42.45,68.0,59,96,4.34,overcast clouds
246,Thaba-Tseka,LS,-29.52,28.61,38.91,64,92,11.43,overcast clouds
247,Oktyabrskoye,RU,43.06,44.74,55.4,93,0,6.71,clear sky
248,Fort Nelson,CA,58.81,-122.7,62.6,88,75,2.24,broken clouds
249,Saint-Louis,SN,16.33,-15.0,87.8,58,26,4.7,scattered clouds
250,Jati,PK,24.35,68.27,83.89,81,100,10.8,overcast clouds
251,Sagua La Grande,CU,22.81,-80.08,86.0,70,75,10.29,broken clouds
252,Vaitape,PF,-16.52,-151.75,79.27,71,13,12.03,few clouds
253,Golden,US,39.76,-105.22,93.99,14,20,11.41,few clouds
254,Namibe,AO,-15.2,12.15,58.39,83,8,6.69,clear sky
255,Sabancuy,MX,18.97,-91.18,84.15,77,49,12.88,scattered clouds
256,Abalak,RU,58.13,68.59,50.07,98,53,5.79,broken clouds
257,Batemans Bay,AU,-35.72,150.18,57.99,73,50,5.01,scattered clouds
258,Portalegre,PT,39.29,-7.43,72.0,69,1,3.85,clear sky
259,San Quintin,MX,30.48,-115.95,77.54,66,65,9.19,light rain
260,Lithakia,GR,37.72,20.83,73.4,94,0,2.24,clear sky
261,Mount Isa,AU,-20.73,139.5,77.0,16,0,12.91,clear sky
262,Airai,TL,-8.93,125.41,67.14,55,0,4.16,clear sky
263,Krasnozatonskiy,RU,61.68,50.98,46.4,87,93,4.47,overcast clouds
264,Aksu,CN,41.12,80.26,76.03,29,56,5.23,broken clouds
265,Chuy,UY,-33.7,-53.46,47.03,82,0,7.11,clear sky
266,Durban,ZA,-29.86,31.03,66.99,77,0,8.05,clear sky
267,Mutoko,ZW,-17.4,32.23,51.19,96,0,2.1,clear sky
268,Bethel,US,41.37,-73.41,69.8,88,90,5.82,overcast clouds
269,Port Moresby,PG,-9.44,147.18,78.8,65,40,9.17,smoke
270,Qaqortoq,GL,60.72,-46.03,55.4,62,14,3.36,few clouds
271,Khandbari,NP,27.37,87.2,73.54,75,65,0.56,broken clouds
272,Mana,GF,5.66,-53.78,79.52,82,99,11.18,overcast clouds
273,Reconquista,AR,-29.15,-59.65,55.54,49,0,8.03,clear sky
274,Belogorsk,RU,50.92,128.46,57.65,94,100,14.58,overcast clouds
275,Muscat,OM,23.61,58.59,86.0,84,15,8.05,few clouds
276,Lasa,IT,46.62,10.7,55.4,93,40,3.36,scattered clouds
277,Sandakan,MY,5.84,118.12,75.2,100,40,3.36,scattered clouds
278,Norman Wells,CA,65.28,-126.83,60.8,55,75,9.17,broken clouds
279,Marsh Harbour,BS,26.54,-77.06,84.74,68,95,5.17,overcast clouds
280,Plettenberg Bay,ZA,-34.05,23.37,47.61,76,99,22.57,light rain
281,Saint-Philippe,RE,-21.36,55.77,66.2,63,41,8.05,scattered clouds
282,Geraldton,AU,-28.77,114.6,51.8,93,90,8.05,overcast clouds
283,Yeovil,GB,50.94,-2.63,62.6,88,96,6.93,overcast clouds
284,Goes,NL,51.5,3.89,64.0,94,31,1.99,scattered clouds
285,Gushikawa,JP,26.35,127.87,84.2,83,1,6.93,clear sky
286,Acapulco,MX,16.86,-99.89,82.4,78,90,4.7,overcast clouds
287,Bengkulu,ID,-3.8,102.27,75.61,87,27,2.55,light rain
288,Kharp,RU,66.8,65.81,49.89,84,96,6.44,overcast clouds
289,Hamilton,US,39.18,-84.53,82.4,48,40,8.05,scattered clouds
290,Kaeo,NZ,-35.1,173.78,60.01,3,100,8.01,light rain
291,Bertoua,CM,4.58,13.68,68.2,97,98,3.4,light rain
292,Shenjiamen,CN,29.96,122.3,82.13,83,1,12.03,clear sky
293,Savannakhet,LA,16.57,104.75,75.22,93,100,1.52,light rain
294,Mogadishu,SO,2.04,45.34,74.75,83,100,14.18,overcast clouds
295,Luderitz,NA,-26.65,15.16,54.57,68,0,11.61,clear sky
296,Naze,JP,28.37,129.48,87.8,79,20,6.93,few clouds
297,Kulu,TR,39.1,33.08,59.68,45,0,5.64,clear sky
298,Samagaltay,RU,50.6,95.0,59.36,63,44,1.95,scattered clouds
299,Sawankhalok,TH,17.32,99.83,75.2,94,20,3.36,few clouds
300,Kovdor,RU,67.57,30.48,40.33,92,66,6.08,broken clouds
301,Vila Velha,BR,-20.33,-40.29,75.2,83,40,14.99,scattered clouds
302,Apollonia,GR,36.97,24.72,75.0,73,0,5.82,clear sky
303,Toora-Khem,RU,52.47,96.11,55.94,82,65,2.08,broken clouds
304,Sibiti,CG,-3.68,13.35,67.21,96,57,3.04,broken clouds
305,San Carlos De Bariloche,AR,-41.15,-71.31,41.0,75,40,31.09,scattered clouds
306,Uyuni,BO,-20.46,-66.83,39.56,60,1,28.1,clear sky
307,Bondoukou,CI,8.03,-2.8,70.95,91,13,3.27,few clouds
308,Warwick,US,41.7,-71.42,71.01,90,27,6.71,scattered clouds
309,Grindavik,IS,63.84,-22.43,53.6,93,75,3.36,broken clouds
310,Catuday,PH,16.29,119.81,81.07,81,99,10.02,light rain
311,Faanui,PF,-16.48,-151.75,78.44,73,15,12.06,few clouds
312,Caohai,CN,26.87,104.28,58.21,94,100,3.87,light rain
313,Jinchang,CN,38.5,102.17,69.28,27,0,4.38,clear sky
314,Mbabane,SZ,-26.32,31.13,62.6,67,17,20.8,few clouds
315,Port Shepstone,ZA,-30.74,30.45,60.42,50,0,9.22,clear sky
316,Mamakan,RU,57.82,114.0,53.22,58,0,0.89,clear sky
317,San Rafael Del Sur,NI,11.85,-86.44,82.4,74,40,6.93,moderate rain
318,Matagami,CA,49.75,-77.63,58.6,93,80,6.38,broken clouds
319,Alofi,NU,-19.06,-169.92,78.8,65,75,17.22,broken clouds
320,Kindu,CD,-2.95,25.95,72.37,74,61,1.39,broken clouds
321,Phalaborwa,ZA,-23.94,31.14,57.2,87,41,3.36,scattered clouds
322,Amnat Charoen,TH,15.86,104.63,77.07,87,100,3.6,light rain
323,Itarantim,BR,-15.66,-40.07,66.33,95,8,3.94,clear sky
324,Esperantinopolis,BR,-4.87,-44.71,80.65,44,48,2.68,scattered clouds
325,Walvis Bay,NA,-22.96,14.51,51.01,71,0,3.36,clear sky
326,Pacifica,US,37.61,-122.49,84.0,56,90,23.04,overcast clouds
327,Onguday,RU,50.75,86.15,51.87,63,28,3.44,scattered clouds
328,Brooks,CA,50.58,-111.89,91.99,25,46,13.98,scattered clouds
329,Edson,CA,53.58,-116.44,82.4,34,1,9.17,clear sky
330,Anan,JP,33.92,134.65,86.0,70,20,11.41,few clouds
331,Tual,ID,-5.67,132.75,78.33,79,38,16.84,scattered clouds
332,Rocha,UY,-34.48,-54.33,43.16,88,0,5.55,clear sky
333,Rovaniemi,FI,66.5,25.72,46.4,75,68,5.82,broken clouds
334,Yarmouth,US,41.71,-70.23,66.2,77,1,3.36,clear sky
335,Aden,YE,12.78,45.04,85.3,71,51,11.68,broken clouds
336,Sinnamary,GF,5.38,-52.95,78.87,79,97,10.6,overcast clouds
337,Fortuna,US,40.6,-124.16,63.0,88,100,4.0,overcast clouds
338,Bhasawar,IN,27.03,77.03,84.96,74,51,3.31,moderate rain
339,Calvinia,ZA,-31.47,19.78,36.03,86,66,11.74,broken clouds
340,Iguape,BR,-24.71,-47.56,65.48,93,100,2.84,light rain
341,Taga,RO,46.95,24.05,63.0,93,36,1.99,scattered clouds
342,Sambrial,PK,32.47,74.35,82.4,88,40,4.7,smoke
343,Lutkun,RU,41.48,47.69,53.67,61,1,4.74,clear sky
344,Saint George,US,37.1,-113.58,111.99,5,1,4.25,clear sky
345,Beyneu,KZ,45.32,55.2,63.43,46,0,12.37,clear sky
346,Kurchum,KZ,48.57,83.65,71.08,32,56,9.15,broken clouds
347,Leningradskiy,RU,69.38,178.42,43.86,65,94,6.67,overcast clouds
348,Bud,US,39.45,-86.18,81.0,57,40,8.05,scattered clouds
349,Merauke,ID,-8.47,140.33,78.03,71,0,12.15,clear sky
350,Port Macquarie,AU,-31.43,152.92,57.99,77,25,5.82,scattered clouds
351,Nuuk,GL,64.18,-51.72,59.0,41,4,5.82,clear sky
352,Marabba,SD,12.35,32.18,74.35,91,61,6.91,moderate rain
353,Halacho,MX,20.48,-90.08,82.4,83,75,6.93,broken clouds
354,Diego De Almagro,CL,-26.37,-70.05,42.19,74,0,0.92,clear sky
355,Beasain,ES,43.05,-2.2,64.0,93,100,1.01,overcast clouds
356,San Luis,AR,-33.3,-66.34,56.26,36,0,7.67,clear sky
357,Reyes,BO,-14.32,-67.38,81.03,59,45,2.64,scattered clouds
358,Yar-Sale,RU,66.83,70.83,50.76,91,100,11.68,overcast clouds
359,Jaguaruna,BR,-28.61,-49.03,60.69,89,42,1.28,scattered clouds
360,Bitung,ID,1.45,125.18,78.8,74,20,2.24,few clouds
361,Cayenne,GF,4.93,-52.33,78.8,83,64,6.93,broken clouds
362,Las Cruces,US,32.31,-106.78,84.2,28,40,9.17,scattered clouds
363,Erice,IT,38.04,12.59,78.8,83,40,5.82,scattered clouds
364,Provost,CA,52.35,-110.27,85.5,35,80,3.06,broken clouds
365,Ziro,IN,27.63,93.83,59.02,100,59,1.34,broken clouds
366,Saint-Joseph,RE,-21.37,55.62,66.2,63,35,8.05,scattered clouds
367,San Cristobal,VE,7.77,-72.22,84.2,66,40,5.82,scattered clouds
